1,1
2,2
3,2
4,3
5,3
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
39,7
39,7
39,7
43,6
44,7
45,8
46,8
47,9
48,9
49,9
50,9
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,11
60,11
61,11
62,11
63,11
64,11
65,11
66,11
67,11
68,11
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
79,14
79,14
79,14
83,13
84,14
85,15
86,15
87,16
88,16
89,16
90,16
91,17
92,17
93,17
94,17
95,17
96,17
97,18
98,18
99,18
100,18
101,18
102,18
103,18
104,19
105,19
106,19
107,19
108,19
109,19
110,19
111,19
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
119,22
119,22
119,22
123,21
124,22
125,23
126,23
127,24
128,24
129,24
130,24
131,25
132,25
133,25
134,25
135,25
136,26
137,26
138,26
139,26
140,26
141,26
142,27
143,27
144,27
145,27
146,27
147,27
148,27
149,28
150,28
151,28
152,28
153,28
154,28
155,28
156,28
157,29
158,29
159,29
159,30
159,30
159,30
163,29
164,30
165,31
166,31
167,32
168,32
169,32
170,32
171,33
172,33
173,33
174,33
175,34
176,34
177,34
178,34
179,34
180,35
181,35
182,35
183,35
184,35
185,35
186,36
187,36
188,36
189,36
190,36
191,36
192,36
193,37
194,37
195,37
196,37
197,37
198,37
199,37
199,39
199,39
199,39
203,38
204,39
205,40
206,40
207,41
208,41
209,41
210,41
211,42
212,42
213,42
214,42
215,43
216,43
217,43
218,43
219,43
220,44
221,44
222,44
223,44
224,44
225,44
226,45
227,45
228,45
229,45
230,45
231,45
232,45
233,46
234,46
235,46
236,46
237,46
238,46
239,46
239,48
239,48
239,48
243,47
244,48
245,49
246,49
247,50
248,50
249,50
250,50
